text,label
here are thursdays biggest analyst calls apple amazon tesla palantir docusign exxon amp more ,0
buy las vegas sands as travel to singapore builds wells fargo says ,0
piper sandler downgrades docusign to sell citing elevated risks amid ceo transition ,0
analysts react to teslas latest earnings break down whats next for electric car maker ,0
netflix and its peers are set for a return to growth analysts say giving one stock 120 upside ,0
barclays believes earnings for these underperforming stocks may surprise wall street ,0
bernstein upgrades alibaba says shares can rally more than 20 from here ,0
analysts react to netflixs strong quarter with some pointing to a potential bottom for the stock ,0
buy chevron as shares look attractive at these levels hsbc says ,0
morgan stanley says these global stocks are set for earnings beats and gives one over 45 upside ,0
investing club analysts dropped a bunch of new notes on energy stocks heres where we stand on ours ,0
cfra downgrades disney says lack of cash dividend could hurt its streaming platform ,0
bank of america is more bullish than jpmorgan heres what that means for wall street and the economy ,0
here are tuesdays biggest analyst calls meta chipotle apple tesla exxon netflix sunrun amp more ,0
citi cuts microsoft price target citing foreign exchange headwinds ,0
exchange operator cboe is a buy as recession chances rise morgan stanley says ,0
strong earnings may not be enough to bring netflix out of its funk credit suisse says ,0
teslas bitcoin holdings could result in a 460 million hit for the carmaker barclays says ,0
morningstar strategist says two faang stocks look incredibly cheap right now ,0
analyst call of the day for cnbcpro subscribers citi added a positive catalyst watch to delta and said it sees upside risk subscribe to see the analyst calls of the day curated by cnbc pro ,0
apples nearterm future looks murky as consumer spending slows bernstein says ,0
buy tesla in the short term to capture potential upside from earnings says deutsche bank ,0
here are mondays biggest analyst calls of the day tesla apple yum delta fox netflix amp more ,0
deutsche bank downgrades general motors cites looming pricing risks to automakers ,0
morgan stanley downgrades paramount and fox warns of possible streaming recession ,0
buy yum brands to defend against a slowdown in consumer spending goldman sachs says ,0
analysts reveal the top stocks with significant upside potential heading into earnings ,0
argus downgrades delta citing weak outlook following secondquarter earnings ,0
analyst call of the day for cnbcpro subscribers bank of america kept its buy rating on shares of nvidia but said any weakness in the stock could impact other semiconductor companies subscribe to see the analyst calls of the day curated by cnbc pro ,0
here are fridays biggest analyst calls of the day mcdonalds netflix amazon nvidia visa amp more ,0
bernstein calls medtech company dexcom a clear buy citing longterm runway for diabetes management ,0
ubs slashes netflix price target ahead of earnings warns of cautious outlook for streaming giant ,0
bmo cuts microsoft price target citing pressure on software valuations and potential recession ,0
edward jones says buy qualcomm as the chipmakers pullback creates an attractive buying opportunity ,0
credit suisse adds financials to its top stock picks for july ,0
here are thursdays biggest analyst calls tesla amazon twitter qualcomm costco apple amp more ,0
deutsche bank upgrades costco to buy says club business model will outperform in uncertain economy ,0
morgan stanleys jonas trims price target for tesla citing slowing economy ,0
bmo upgrades advanced micro devices says chipmaker is gaining market share from rivals ,0
bank of america slashes sampp 500 target sees stocks falling another 5 by yearend ,0
truist initiates coverage of tesla with a buy rating and 1000 price target ,0
goldman says this stock is a smart defensive play in the economically sensitive construction group ,0
wall street bets on analysts cutting earnings estimates as the economy shows signs of slowing ,0
raymond james says bath amp body works is oversold and will jump nearly 70 from here ,0
analyst call of the day for cnbcpro subscribers citi reiterates nvidia as buy it lowered its price target on nvidia to 285 per share from 315 but said gaming weakness is priced in subscribe to see the analyst calls of the day curated by cnbc pro ,0
company downgrades are picking up steam as profit outlooks dim ,0
morgan stanley names its top stocks in a safe haven tech sector giving one upside of 60 ,0
susquehanna downgrades jetblue cites struggles with cost structure ,0
here are tuesdays biggest analyst calls tesla apple gap jpmorgan chase nvidia southwest ,0
morgan stanley downgrades american express on lower spending among highend consumers ,0
citi upgrades jpmorgan chase to buy says stock is at an attractive entry point ,0
ubs cuts sampp 500 price target for 2022 says earnings estimates could go down even more ,0
evercore isi says gazumped growth growers could do well in a potentially tough earnings season ,0
evercore isi cuts sampp 500 target citing slower growth and lower earnings ,0
shares of mattel could see more than 30 upside on tv and movie releases goldman sachs says ,0
occidental petroleum looks overbought after its rally this year goldman sachs says ,0
analyst call of the day for cnbcpro subscribers cowen reiterates apple as outperform and says the stock remains a defensive name heading into earnings later this month subscribe to see the analyst calls of the day curated by cnbc pro ,0
here are mondays biggest analyst calls apple amazon meta honeywell cvs mattel qorvo amp more ,0
bank of america upgrades honeywell to buy citing potential growth in aerospace and oil and gas ,0
its time to sell meta until it figures out the metaverse needham says in downgrade ,0
bank of america shares are a compelling buy even in a recession societe generale says in upgrade ,0
cowen downgrades chip stock qorvo as demand for smartphone slows ,0
cof 10470 247 23 capital one was downgraded to perform from outperform at oppenheimer and downgraded to equalweight from overweight at morgan stanley,0
zg zillow finally gets an analyst upgrade which we found notable but will other firms follow suit ,0
fibonaccisqnc e estimates been coming down sharply exoilgas as well feels a lot positioned for nasty outlooks think could surprise,0
